GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
spring-boot-poseidon,com.nnk.springboot.controllers,LoginController,9,38,0,0,3,12,1,3,1,3
spring-boot-poseidon,com.nnk.springboot.controllers,HomeController,2,7,0,0,1,3,1,3,1,3
spring-boot-poseidon,com.nnk.springboot.controllers,CurveController,101,268,2,4,15,52,2,12,0,11
spring-boot-poseidon,com.nnk.springboot.controllers,UserController,79,169,2,2,14,47,2,10,0,10
spring-boot-poseidon,com.nnk.springboot.controllers,BidListController,81,190,2,4,15,51,2,12,0,11
spring-boot-poseidon,com.nnk.springboot.controllers,RatingController,101,268,2,4,15,52,2,12,0,11
spring-boot-poseidon,com.nnk.springboot.controllers,TradeController,101,268,2,4,15,52,2,12,0,11
spring-boot-poseidon,com.nnk.springboot.controllers,RuleNameController,101,268,2,4,15,52,2,12,0,11
spring-boot-poseidon,com.nnk.springboot.web.dto,UserDTO,24,94,5,5,1,15,6,14,1,14
spring-boot-poseidon,com.nnk.springboot.web.dto.validation,DigitalNumberValidator,0,21,0,4,0,7,0,4,0,2
spring-boot-poseidon,com.nnk.springboot.web.dto.validation,ApiResponse,62,0,0,0,11,0,10,0,10,0
spring-boot-poseidon,com.nnk.springboot.web.dto.validation,BaseExceptionHandler,51,7,2,0,8,2,3,2,2,2
spring-boot-poseidon,com.nnk.springboot.web.dto.validation,PasswordConstraintValidator,3,130,0,4,1,21,0,5,0,3
spring-boot-poseidon,com.nnk.springboot.service,UserDalServiceBean,0,191,4,8,0,45,4,15,0,13
spring-boot-poseidon,com.nnk.springboot.config,MvcConfig,0,19,0,0,0,5,0,2,0,2
spring-boot-poseidon,com.nnk.springboot.config,SecurityConfiguration,0,113,0,0,0,31,0,6,0,6
spring-boot-poseidon,com.nnk.springboot.web.dto.mapper,UserMapper,0,5,0,0,0,1,0,1,0,1
spring-boot-poseidon,com.nnk.springboot.web.dto.mapper,UserMapperImpl,0,59,0,4,0,18,0,5,0,3
spring-boot-poseidon,com.nnk.springboot,Application,5,3,0,0,2,1,1,1,1,1
spring-boot-poseidon,com.nnk.springboot.domain,Rating,60,68,9,3,3,19,10,11,4,11
spring-boot-poseidon,com.nnk.springboot.domain,RuleName,90,84,13,3,5,23,14,13,6,13
spring-boot-poseidon,com.nnk.springboot.domain,BidList,113,118,7,3,2,35,25,29,20,29
spring-boot-poseidon,com.nnk.springboot.domain,Trade,102,106,5,3,1,33,24,27,20,27
spring-boot-poseidon,com.nnk.springboot.domain,User,2,113,3,7,0,21,3,17,0,15
spring-boot-poseidon,com.nnk.springboot.domain,CurvePoint,53,66,7,3,2,19,10,12,5,12
spring-boot-poseidon,com.nnk.springboot.tools,Jackson,6,69,0,0,3,19,1,2,1,2
